time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,absence_terms,social_care_group,phase_type_grouping,t_pupils,t_sess_possible,t_sess_overall,pt_overall,t_sess_authorised,pt_sess_authorised,t_sess_unauthorised,pt_sess_unauthorised,t_pupils_pa_10_exact,pt_pupils_pa_10_exact,t_pupils_pa_50_exact,pt_pupils_pa_50_exact
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,six half terms,CLA 12 months at 31 March,State-funded secondary,61,20599,2118,10.3,1898,9.2,220,1.1,26,42.6,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,six half terms,CLA 12 months at 31 March,State-funded primary,67,25380,320,1.3,284,1.1,36,0.1,0,0,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,807,Redcar and Cleveland,E06000003,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,six half terms,CLA 12 months at 31 March,Total,141,49405,2580,5.2,2266,4.6,314,0.6,26,18.4,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,six half terms,CLA 12 months at 31 March,State-funded secondary,62,21738,1563,7.2,1331,6.1,232,1.1,15,24.2,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,six half terms,CLA 12 months at 31 March,State-funded primary,48,17482,506,2.9,493,2.8,13,0.1,c,c,0,0
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,six half terms,CLA 12 months at 31 March,State-funded alternative provision school,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,393,South Tyneside,E08000023,six half terms,CLA 12 months at 31 March,Special,c,c,c,c,c,c,c,c,c,c,c,c
202021,Academic year,Local authority,E92000001,England,E12000001,North East,808,Stockton-on-Tees,E06000004,six half terms,CLA 12 months at 31 March,Total,296,107315,10083,9.4,8627,8,1456,1.4,104,35.1,7,2.4
