LA num,LA Name,LA number,GOInd,GOReg,SN1,SNP,SN2,SNP,SN3,SNP,SN4,SNP,SN5,SNP,SN6,SNP,SN7,SNP,SN8,SNP,SN9,SNP,SN10,SNP,
383,Leeds,383,9,Yorkshire and the Humber,373,Very Close,841,Very Close,381,Very Close,351,Very Close,808,Very Close,350,Very Close,831,Very Close,392,Very Close,382,Very Close,344,Very Close,
384,Wakefield,384,9,Yorkshire and the Humber,359,Very Close,371,Very Close,370,Very Close,342,Very Close,372,Very Close,390,Very Close,840,Very Close,394,Very Close,807,Very Close,812,Very Close,
390,Gateshead,390,4,North East,394,Extremely Close,840,Very Close,342,Very Close,841,Very Close,393,Very Close,384,Very Close,392,Very Close,357,Very Close,370,Very Close,359,Very Close,
391,Newcastle upon Tyne,391,4,North East,355,Very Close,341,Close,806,Close,373,Close,383,Close,805,Close,876,Close,393,Close,394,Close,390,Close,
392,North Tyneside,392,4,North East,841,Very Close,808,Very Close,343,Very Close,342,Very Close,344,Very Close,390,Very Close,840,Very Close,929,Very Close,381,Very Close,359,Very Close,
393,South Tyneside,393,4,North East,394,Very Close,390,Very Close,355,Very Close,805,Very Close,876,Very Close,807,Very Close,357,Very Close,342,Very Close,341,Very Close,840,Very Close,
394,Sunderland,394,4,North East,390,Extremely Close,393,Very Close,840,Very Close,370,Very Close,342,Very Close,876,Very Close,357,Very Close,807,Very Close,384,Very Close,841,Very Close,
420,Isles of Scilly,420,7,South West,884,Not Close,893,Not Close,865,Not Close,878,Not Close,908,Not Close,857,Not Close,933,Not Close,916,Not Close,873,Not Close,931,Not Close,
800,Bath and North East Somerset,800,7,South West,916,Extremely Close,873,Very Close,931,Very Close,865,Very Close,938,Very Close,850,Very Close,802,Very Close,803,Very Close,885,Very Close,878,Very Close,
801,"Bristol, City of",801,7,South West,851,Very Close,852,Close,870,Close,373,Close,846,Close,831,Close,331,Close,879,Close,383,Close,874,Close,
802,North Somerset,802,7,South West,885,Extremely Close,803,Extremely Close,938,Very Close,850,Very Close,916,Very Close,855,Very Close,881,Very Close,937,Very Close,865,Very Close,845,Very Close,
803,South Gloucestershire,803,7,South West,938,Extremely Close,855,Extremely Close,850,Extremely Close,802,Extremely Close,885,Very Close,916,Very Close,823,Very Close,881,Very Close,937,Very Close,865,Very Close,
805,Hartlepool,805,4,North East,876,Very Close,890,Very Close,806,Very Close,340,Very Close,393,Very Close,394,Very Close,807,Very Close,355,Very Close,370,Very Close,812,Very Close,
806,Middlesbrough,806,4,North East,805,Very Close,355,Very Close,876,Very Close,861,Very Close,357,Very Close,354,Very Close,890,Very Close,393,Very Close,810,Very Close,340,Very Close,
