time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Anypoint_episodes,Anypoint_child,Started_episodes,Started_child,Ended_episodes,Ended_child,At31_episodes,awaiting_assessment
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Children in Need,3109,3007,1243,1213,1287,1260,1822,103
2025,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Children in Need,5015,4608,3056,2845,3014,2824,2001,204
2024,Reporting year,National,E92000001,England,,,,,,Children in Need,756150,702840,394660,367550,356690,334960,399460,15810
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children in Need,44510,41450,22070,20700,19510,18500,25010,460
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children in Need,110970,103820,55160,51820,50280,47600,60690,2070
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Children in Need,77060,71860,40560,38150,37350,35550,39710,980
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children in Need,55490,51340,29950,27770,27160,25580,28330,1770
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children in Need,82360,77830,39430,37460,35800,34320,46560,1690
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children in Need,56350,53150,27250,25750,23890,22740,32460,1320
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children in Need,129610,122090,67700,64160,59280,56660,70330,2460
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children in Need,137200,122930,79720,70900,74240,66370,62960,3740
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children in Need,62600,58360,32830,30840,29190,27650,33420,1320
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Children in Need,49250,46340,24340,23130,21450,20500,27800,1140
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Children in Need,80360,75760,43360,41030,37830,36160,42530,1320
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,Children in Need,7339,6864,3719,3534,3230,3075,4109,101
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Children in Need,2066,1950,983,916,956,892,1110,0
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Children in Need,2752,2587,1114,1066,1160,1091,1592,39
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,Children in Need,3271,2896,1931,1726,1784,1630,1487,33
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Children in Need,3827,3565,1880,1766,1876,1787,1951,15
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Children in Need,5112,4723,2463,2237,2276,2113,2836,104
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,Children in Need,2768,2569,1302,1219,1056,1005,1712,35
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,Children in Need,4111,3873,1959,1888,1791,1736,2320,25
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Children in Need,2667,2566,1203,1173,1034,1010,1633,6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,Children in Need,2541,2389,1276,1205,1002,959,1539,29
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Children in Need,4124,3793,2110,1961,1729,1661,2395,48
