time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,social_care_group,version,t_pupils,t_att8,avg_att8,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_CI_low,p8score_CI_upp
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,892,Nottingham,E06000018,CLA 12 months at 31 March,Revised,47,929,19.8,c,c,10,21.3,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,891,Nottinghamshire,E10000024,CLA 12 months at 31 March,Revised,76,1125,14.8,9,11.8,11,14.5,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,857,Rutland,E06000017,CLA 12 months at 31 March,Revised,c,c,c,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000004,East Midlands,941,West Northamptonshire,E06000062,CLA 12 months at 31 March,Revised,49,997.75,20.4,c,c,13,26.5,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,330,Birmingham,E08000025,CLA 12 months at 31 March,Revised,150,3085.25,20.6,19,12.7,36,24,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,331,Coventry,E08000026,CLA 12 months at 31 March,Revised,44,794,18,c,c,9,20.5,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,332,Dudley,E08000027,CLA 12 months at 31 March,Revised,47,927.75,19.7,c,c,10,21.3,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,884,"Herefordshire, County of",E06000019,CLA 12 months at 31 March,Revised,22,560.5,25.5,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,333,Sandwell,E08000028,CLA 12 months at 31 March,Revised,46,1195.25,26,6,13,9,19.6,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,893,Shropshire,E06000051,CLA 12 months at 31 March,Revised,36,833.5,23.2,6,16.7,11,30.6,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,334,Solihull,E08000029,CLA 12 months at 31 March,Revised,36,643.5,17.9,c,c,c,c,x,x,x,x,x,x,x,x,x
202425,Academic year,Local authority,E92000001,England,E12000005,West Midlands,860,Staffordshire,E10000028,CLA 12 months at 31 March,Revised,85,1463.75,17.2,8,9.4,13,15.3,x,x,x,x,x,x,x,x,x
